time_step,robot_position,target_position,risk_score,localization_uncertainty,sensor_confidence,path_blocked_score,obstacle_proximity,trajectory_deviation,replanning_failure_count,task_progress_stagnation,router_decision,failure_event,task_status,speed_state,moved,dynamic_obstacles,path
0,"(2, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
1,"(2, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
2,"(3, 1)","(16, 10)",0.1489,0.05,0.98,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,none,running,cautious,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
3,"(3, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
4,"(4, 1)","(16, 10)",0.1489,0.05,0.98,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,none,running,cautious,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
5,"(4, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
6,"(5, 1)","(16, 10)",0.1489,0.05,0.98,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,none,running,cautious,True,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
7,"(5, 1)","(16, 10)",0.1322,0.05,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,,"(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
8,"(5, 1)","(16, 10)",0.1939,0.05,0.98,0.25,1.0,0.0,0,0.1667,CAUTIOUS_MODE,dynamic_obstacle_blocks_path,running,cautious,False,"(6, 1)","(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
9,"(5, 1)","(16, 10)",0.2105,0.05,0.98,0.25,1.0,0.0,0,0.3333,CAUTIOUS_MODE,none,running,cautious,False,"(6, 1)","(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
10,"(5, 1)","(16, 10)",0.2272,0.05,0.98,0.25,1.0,0.0,0,0.5,CAUTIOUS_MODE,none,running,cautious,False,"(6, 1)","(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
11,"(5, 1)","(16, 10)",0.2439,0.05,0.98,0.25,1.0,0.0,0,0.6667,CAUTIOUS_MODE,none,running,cautious,False,"(6, 1)","(1, 1);(2, 1);(3, 1);(4, 1);(5, 1);(6, 1);(7, 1);(8, 1);(9, 1);(10, 1);(11, 1);(12, 1);(13, 1);(14, 1);(15, 1);(16, 1);(16, 2);(16, 3);(16, 4);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
12,"(4, 1)","(16, 10)",0.2218,0.085,0.98,0.0,1.0,0.0,0,0.8333,REPLAN,localization_drift_increasing,running,normal,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 1);(4, 5);(5, 1);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
13,"(3, 1)","(16, 10)",0.2448,0.12,0.98,0.0,1.0,0.0,0,1.0,REPLAN,localization_drift_increasing,running,normal,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 1);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
14,"(3, 2)","(16, 10)",0.2511,0.155,0.98,0.0,1.0,0.0,0,1.0,REPLAN,localization_drift_increasing,running,normal,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
15,"(3, 2)","(16, 10)",0.1574,0.19,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing,running,cautious,False,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
16,"(3, 3)","(16, 10)",0.1804,0.225,0.98,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing,running,cautious,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
17,"(3, 3)","(16, 10)",0.17,0.26,0.98,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing,running,cautious,False,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
18,"(3, 4)","(16, 10)",0.2002,0.295,0.935,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
19,"(3, 4)","(16, 10)",0.197,0.33,0.89,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,False,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
20,"(3, 5)","(16, 10)",0.2272,0.365,0.845,0.0,1.0,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
21,"(3, 5)","(16, 10)",0.194,0.4,0.8,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,False,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
22,"(4, 5)","(16, 10)",0.2242,0.435,0.755,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,True,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
23,"(4, 5)","(16, 10)",0.251,0.47,0.71,0.0,1.0,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,False,"(6, 1)","(3, 1);(3, 2);(3, 3);(3, 4);(3, 5);(4, 5);(5, 5);(6, 5);(7, 5);(8, 5);(9, 5);(10, 5);(11, 5);(12, 5);(13, 5);(14, 5);(15, 5);(16, 5);(16, 6);(16, 7);(16, 8);(16, 9);(16, 10)"
24,"(3, 5)","(2, 10)",0.2812,0.505,0.665,0.0,1.0,0.0,0,0.1667,REPLAN,localization_drift_increasing|sensor_confidence_drop|target_changed,running,normal,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
25,"(3, 5)","(2, 10)",0.248,0.54,0.62,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
26,"(2, 5)","(2, 10)",0.2782,0.575,0.575,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
27,"(2, 5)","(2, 10)",0.275,0.61,0.53,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
28,"(2, 6)","(2, 10)",0.3052,0.645,0.485,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,localization_drift_increasing|sensor_confidence_drop,running,cautious,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
29,"(2, 6)","(2, 10)",0.2957,0.645,0.44,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,sensor_confidence_drop,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
30,"(2, 7)","(2, 10)",0.3196,0.645,0.395,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,sensor_confidence_drop,running,cautious,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
31,"(2, 7)","(2, 10)",0.3029,0.645,0.395,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,replanning_backend_unstable,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
32,"(2, 8)","(2, 10)",0.3196,0.645,0.395,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,replanning_backend_unstable,running,cautious,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
33,"(2, 8)","(2, 10)",0.3029,0.645,0.395,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,replanning_backend_unstable,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
34,"(2, 9)","(2, 10)",0.3196,0.645,0.395,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,replanning_backend_unstable,running,cautious,True,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
35,"(2, 9)","(2, 10)",0.3029,0.645,0.395,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,"(6, 1)","(2, 5);(2, 6);(2, 7);(2, 8);(2, 9);(2, 10);(3, 5);(4, 5)"
36,"(2, 9)","(2, 10)",0.3662,0.645,0.395,0.0,1.0,0.0,0,0.3333,REPLAN,trajectory_deviation,running,normal,True,"(6, 1)","(2, 9);(2, 10);(3, 9)"
37,"(2, 9)","(2, 10)",0.3029,0.645,0.395,0.0,0.75,0.0,0,0.0,CAUTIOUS_MODE,none,running,cautious,False,"(6, 1)","(2, 9);(2, 10);(3, 9)"
38,"(2, 10)","(2, 10)",0.3196,0.645,0.395,0.0,0.75,0.0,0,0.1667,CAUTIOUS_MODE,none,completed,cautious,True,"(6, 1)","(2, 9);(2, 10);(3, 9)"
